Prod_id,Prod_name,Prod_price,Prod_size,Prod_stock,Prod_brand,Prod_Model,Prod_Desc
23569794,"Dole Chef-Ready Cuts Diced Pineapple and Mango, 14 oz",,14 oz,Not available,Dole,7120217226,"&lt;p&gt;Dole Chef-Ready Cuts Diced Pineapple and Mango are premium-quality, fresh-frozen fruit cubes and dices that work as hard as you do. From breakfast cereal and smoothies to desserts, sauces, salsas, and toppings, Dole Chef-Ready Cuts deliver fresh-fruit flavor, convenience, flexibility and is a ready-to-use ingredient.*NEW_LINE*&lt;/p&gt;"
24446954,"Cascadian Farm Organic Blueberries, 8 oz",8.23,8 oz,Not available,,,"&lt;p&gt;The story of Cascadian Farm starts over 40 years ago with Gene Kahn. Gene was an idealistic 24-year-old graduate school dropout who wanted to make a difference in the world. Concerned about industrial farming's impact on food and the ecosystem, Gene was determined to help restore faith in food. So he founded a small, organic farm on a little stretch of land in beautiful Skagit Valley, Washington. That farm quickly grew and became a pioneer in the burgeoning organic food industry. Today, Cascadian Farm has grown well beyond the home farm, but Gene's mission continues: to bring you delicious, organic food you can believe in, food like Cascadian Farm Organic Blueberries.&lt;/p&gt;"
26178285,"Great Value Triple Berry Mix, 48 oz",,48 oz,Not available,Great Value,7874202250,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
26178286,"Great Value Mixed Fruit, 16 oz",,16 oz,Not available,Great Value,78742025513,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
26178287,"Great Value Whole Red Raspberries, 24 oz",,24 oz,Not available,Great Value,7874202552,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
26501638,"Great Value Tropical Fruit Mix, 48 oz",,48 oz,Not available,Great Value,4412-GTV,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
26832225,"Dole Wildly Nutritious Tropical Medley Mixed Fruit, 16 oz",,,Not available,Dole,7120214061,"&lt;p&gt;Dole Wildly Nutritious Tropical Medley Mixed Fruit is picked at peak ripeness to ensure you're getting only the finest fruits available. Each fruit is carefully washed and quickly fresh-frozen after harvest to lock in the natural flavor and nutrition. The result is great-tasting fruit that is available all year long. Feel revitalized with the fresh taste of sun-ripened Dole all-natural fruit. Rich in nutrients, fruit gives you healthy energy so you feel refreshed and ready to shine.&lt;/p&gt;"
26966065,Natural High 36002 Organic Blueberries,5.29,,Not available,Natural High,36002,Natural High 36002 Organic Blueberries
30866085,"Nature's All Foods Freeze-Dried Strawberries, 1.2 Ounce",4.21,1.2 oz,Available,Nature's All Foods,0925362,
30985288,"Sage Valley Raisins, Thompson, Organic",39.94,354 g,Available,,,
31099597,"Cocomama Quinoa Cereal Wild Blueberry, 5.0 OZ",26.83,https://i5.walmartimages.com/asr/6e43241b-9d0c-4f27-9c4a-b7475e34bb18_1.6c5501364ac4b0a611aeeae1e10f15ee.jpeg,Not available,,,"&lt;ul&gt;&lt;li&gt;Cocomama All Natural &amp; Gluten-Free Wild Blueberry Quinoa Cereal.&lt;/li&gt;&lt;li&gt;Ready to eat.&lt;/li&gt;&lt;li&gt;Plus a hint of vanilla, maple and cinnamon.&lt;/li&gt;&lt;/ul&gt;"
31712521,Great Value Sliced Strawberries 23.2oz,,,Not available,Great Value,7874200671,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
31712522,"Great Value Mango Chunks, 16 oz",,16 oz,Not available,Great Value,4456-GTV,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
31954146,"La Fe Grated Coconut, 14 oz",,,Not available,,,
31954147,"La Fe Papaya Chunks, 14 oz",,,Not available,,,
31954152,"La Fe Frozen Papaya Chunks, 14 oz",,,Not available,,,
31954154,Lafe Pink Guayaba Pulp 14oz,,14 oz,Not available,La Fe,473736910,
31954155,"La Fe Frozen Tamarillo Pulp, 14 oz",,,Not available,,,
31954161,Lafe Maranon Fruit 14 Oz,,,Not available,,,
31954162,Lafe Red Jocote Fruit 14 Oz,,,Not available,,,
31954165,"La Fe Frozen Strawberry Pulp, 14 oz",,,Not available,,,
32176512,"Earthbound Farm Organic Blueberries, 10.0 OZ",,10 oz,Not available,,,"&lt;p&gt;Earthbound Farm Organic has been growing organic produce for more than 25 years and knows a thing or two about what it takes to make the freshest and most delicious organic produce. Now, they've invested everything they know about fresh produce to bring you this Earthbound Farm Organic Organic Blueberries and an entire line of premium frozen fruits and vegetables. They think you'll taste the difference and appreciate the convenience of having this delicious organic berry basket blend available in your freezer anytime for smoothies, recipes, desserts, and whatever else you dream up.&lt;/p&gt;"
32176513,"Earthbound Farm Organic Strawberries, 10.0 OZ",,10 oz,Not available,,,"&lt;p&gt;Earthbound Farm Organic has been growing organic produce for more than 25 years and knows a thing or two about what it takes to make the freshest and most delicious organic produce. Now, they've invested everything they know about fresh produce to bring you this Earthbound Farm Organic Organic Strawberries and an entire line of premium frozen fruits and vegetables. They think you'll taste the difference and appreciate the convenience of having this delicious organic berry basket blend available in your freezer anytime for smoothies, recipes, desserts, and whatever else you dream up.&lt;/p&gt;"
32176515,Earthbound Farm Org Org Frozen Red Raspberries 12x10oz,,10 oz,Not available,,,"&lt;p&gt;Earthbound Farm Organic has been growing organic produce for more than 25 years and knows a thing or two about what it takes to make the freshest and most delicious organic produce. Now, they've invested everything they know about fresh produce to bring you this Earthbound Farm Organic Organic Red Raspberries and an entire line of premium frozen fruits and vegetables. They think you'll taste the difference and appreciate the convenience of having this delicious organic berry basket blend available in your freezer anytime for smoothies, recipes, desserts, and whatever else you dream up.&lt;/p&gt;"
32252308,"Great Value Whole Blueberries, 48 oz",,48 oz,Not available,Great Value,3527-GTV,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
33379088,Dole® Dippers™ Dark Chocolate Covered Real Strawberry Halves 6-1.23 oz. Pouches,8.83,1.23 oz,Not available,Dippers,7120216325,"&lt;p&gt;Snacking just got sweeter with new Dole Strawberry Dippers. The goodness of strawberries comes together with the rich, indulgent taste of dark chocolate. Dole Strawberry Dippers are fresh frozen strawberry halves covered in chocolate. Each individual pack contains four halves, at 60 calories per pack. Simply pull from your freezer and enjoy anytime, anywhere.&lt;/p&gt;"
34467400,Sunrise Growers Sg Mango Berry Blend 14oz,3.67,,Not available,,,"&lt;p&gt;Sunrise Growers Mango Berry Blend Frozen Fruit is made with wild blueberries. Wild blueberries have more than double the antioxidant power of cultivated blueberries. At Sunrise Growers, they select fresh fruit at the peak of ripeness and flavor. They quickly harvest, wash and freeze the fruit to lock in all of its natural goodness. Their fruit is frozen fresh so that it is packed with nutrients and naturally delicious.&lt;/p&gt;"
35245947,Cascadian Farm™ Organic Red Raspberries 10 oz. Pouch,,NA,Not available,Cascadian Farm,53001,
37680496,"Wyman's of Maine Fresh Frozen Mango Chunks, 3 lb",,,Not available,Wyman's of Maine,28030,"&lt;p&gt;Wyman's of Maine Fresh Frozen Mango Chunks are a tasty way to get vibrant yellow color into your diet--and color is a key to healthy eating. Deep yellow fruits are packed with vitamins, antioxidants, and other nutrients that are now being studied for their potential health benefits. Wyman's mango chunks are thoroughly washed and individually quick-frozen after harvest to capture freshness, flavor, and nutrition.&lt;/p&gt;"
38568715,"El Sembrador Mora Andean Blackberry Fruit Pulp, 14 oz",,14 oz,Not available,,,
38568716,"El Sembrador Yuca, 64 oz",,4 lbs,Not available,,,
40547595,Cascadian Farm® Organic Antioxidant Blend Harvest Berries 10 oz Bag,,10 oz,Not available,,,"&lt;p&gt;Cascadian Farm Organic Antioxidant Blend Harvest Berries are a heavenly combination. Cascadian Farm's organically grown strawberries, blueberries and blackberries offer a gorgeous medley of sweet, juicy flavor.&lt;/p&gt;"
40603028,"Dole Sliced Rhubarb, 16 oz",,16 oz,Not available,Dole,7120259155,"&lt;p&gt;Dole Sliced Rhubarb is hand-picked at its peak ripeness to ensure you're getting only the finest fruit available. Each stalk is carefully washed, sliced and quickly fresh-frozen after harvest to lock in the natural flavor and nutrition. The result is great tasting fruit that is available all year long. Feel revitalized with the fresh taste of sun-ripened Dole all natural fruit. Rich in nutrients, fruit gives you a healthy energy so you feel refreshed and ready to shine.&lt;/p&gt;"
40711459,"Wyman's of Maine Fresh Frozen Strawberries, Blueberries & Cherries with Kale, 3 lb",,3 lbs,Not available,Wyman's of Maine,27041,"&lt;p&gt;Wyman's of Maine Fresh Frozen Strawberries, Blueberries &amp; Cherries with Kale is a tasty way to get vibrant red, blue and green color into your diet--and color is a key to healthy eating. Deep red and blue fruits, as well as superstar vegetable kale, are packed with vitamins, antioxidants, and other nutrients that are now being studied for their potential health benefits. Wyman's strawberries, blueberries, cherries and kale are thoroughly washed and individually quick-frozen after harvest to capture freshness, flavor, and nutrition.&lt;/p&gt;"
42381938,"Rader Farms Fresh Start Daily Power Fusion Frozen Fruit/Vegetables, 35 oz",,,Not available,Fresh Start,85153,"&lt;p&gt;It's never too late for a fresh start. Morning, noon or night, awaken your day with Rader Farms Fresh Start Daily Power Fusion Frozen Fruit/Vegetables. Daily Power Fusion is a blend of strategically chosen fruits and vegetables picked at the peak of ripeness. From Rader Farms' farmers to your table, this nutritious blend provides two grams of protein and is an excellent source of vitamins A and C. How's that for daily power? Since 1941, Rader Farms has been a family-operated berry farm rooted in the Pacific Northwest. Here they grow and source only the finest produce.&lt;/p&gt;"
42381939,"Rader Farms Fresh Start Sunrise Refresh Fusion Frozen Fruit/Vegetables, 35 oz",,,Not available,Fresh Start,85154,"&lt;p&gt;It's never too late for a fresh start. Morning, noon or night, awaken your day with Rader Farms Fresh Start Sunrise Refresh Fusion Frozen Fruit/Vegetables. Sunrise Refresh Fusion is a blend of strategically chosen fruits and vegetables picked at the peak of ripeness. From Rader Farms' farmers to your table, this nutritious blend provides a good source of dietary fiber and is an excellent source of vitamins A and C. How's that for refresh? Since 1941, Rader Farms has been a family-operated berry farm rooted in the Pacific Northwest. Here they grow and source only the finest produce.&lt;/p&gt;"
42678678,"Goya Fruta Blackberry Pulp, 14 oz",,14 oz,Not available,Goya Food,9069,"&lt;p&gt;Delicious and naturally good for you! Goya Fruta Blackberry Pulp is a great way to incorporate healthy fruit into your diet. Nutrition experts recommended a diet low in fat and high in fiber, which includes at least five servings of fruit and vegetables every day for better health. Try delicious Goya Fruta Blackberry Pulp in a refreshing smoothie, aqua fresca or as a topping.&lt;/p&gt;"
42678679,"Goya Fruta Naranjilla Pulp, 14 oz",,,Not available,Goya Food,9071,"&lt;p&gt;Delicious and naturally good for you! Goya Fruta Naranjilla Pulp is a great way to incorporate healthy fruit into your diet. Nutrition experts recommended a diet low in fat and high in fiber, which includes at least five servings of fruit and vegetables every day for better health. Try delicious Goya Fruta Naranjilla Pulp in a refreshing smoothie, aqua fresca or as a topping.&lt;/p&gt;"
42678681,"Goya Fruta Whole Blackberry, 14 oz",,14 oz,Not available,Goya Food,9076,"&lt;p&gt;Delicious and naturally good for you! Goya Fruta Whole Blackberry is a great way to incorporate healthy fruit into your diet. Nutrition experts recommended a diet low in fat and high in fiber, which includes at least five servings of fruit and vegetables every day for better health. Try delicious Goya Fruta Whole Blackberry in a refreshing smoothie, aqua fresca or as a topping.&lt;/p&gt;"
42678682,"Goya Fruta Flake-Grated Coconut, 14 oz",,14 oz,Not available,Goya Food,9079,"&lt;p&gt;Delicious and naturally good for you! Goya Fruta Flake-Grated Coconut is a great way to incorporate healthy fruit into your diet. Nutrition experts recommended a diet low in fat and high in fiber, which includes at least five servings of fruit and vegetables every day for better health. Try delicious Goya Fruta Flake-Grated Coconut in a refreshing smoothie, aqua fresca or as a topping.&lt;/p&gt;"
42678683,"Goya Fruta Mamey Pulp, 14 oz",,14 oz,Not available,,,"&lt;p&gt;Delicious and naturally good for you! Goya Fruta Mamey Pulp is a great way to incorporate healthy fruit into your diet. Nutrition experts recommended a diet low in fat and high in fiber, which includes at least five servings of fruit and vegetables every day for better health. Try delicious Goya Fruta Mamey Pulp in a refreshing smoothie, aqua fresca or as a topping.&lt;/p&gt;"
44389038,"Great Value Frozen Mixed Fruit, 64 oz",1.17,,Not available,Great Value,7874212423,
44389039,"Great Value Frozen Strawberries, 64 oz",0.87,64 oz,Not available,Great Value,7874212424,
44465074,Dole® Mandarin Sunshine Blend 16 oz. Pouch,,16 oz,Not available,Dole,7120214057,"&lt;p&gt;Dole(r) Wildly Nutritious(r) Signature Blends Mandarin Sunshine Blend Frozen Mixed Fruit is hand-picked at peak ripeness to ensure you're getting only the finest fruits available. Each fruit is carefully washed and quickly fresh-frozen after harvest to lock in the natural flavor and nutrition. The result is great-tasting fruit that is available all year long. Feel revitalized with the fresh taste of sun-ripened Dole all natural fruit. Rich in nutrients, fruit gives you a healthy energy so you feel refreshed and ready to shine. Dole. Make every day shine.(r)&lt;/p&gt;"
45595103,"Goya Fruta Curuba Pulp, 14 oz",,14 oz,Not available,,,"&lt;p&gt;Delicious and naturally good for you, Goya Fruta Curuba Pulp is a great way to incorporate healthy fruit into your diet. Nutrition experts recommend a diet low in fat and high in fiber, which includes at least five servings of fruit and vegetables everyday for better health. Try this delicious Goya Fruta in a refreshing smoothie, agua fresca or as a topping. Eating healthy is not always easy. Well, with Goya super juice or agua fresca, you have no excuses. They take only a few minutes to make and drink, and they provide vitamins and protein at any time during the day.&lt;/p&gt;"
45595104,"Goya Fruta Lime Pulp, 14 oz",,,Not available,,,"&lt;p&gt;Delicious and naturally good for you, Goya Fruta Lime Pulp is a great way to incorporate healthy fruit into your diet. Nutrition experts recommend a diet low in fat and high in fiber, which includes at least five servings of fruit and vegetables everyday for better health. Try this delicious Goya Fruta in a refreshing smoothie, agua fresca or as a topping. Eating healthy is not always easy. Well, with Goya super juice or agua fresca, you have no excuses. They take only a few minutes to make and drink, and they provide vitamins and protein at any time during the day.&lt;/p&gt;"
45595105,Goya Goya Chirimoya Pulp  14 Oz,,,Not available,,,"&lt;p&gt;Fruta Goya Chirimoya Pulp is a great way to incorporate healthy fruit into your diet. Nutrition experts recommend a diet low in fat and high in fiber, which includes at least five servings of fruit and vegetables everyday for better health. Try this delicious Fruta Goya in a refreshing smoothie, agua fresca or as a topping.&lt;/p&gt;"
45743184,"Goya Fruta Whole Tejocote, 14 oz",,,Not available,,,"&lt;p&gt;Goya Fruta Whole Tejocote is a great way to incorporate healthy fruit into your diet. Nutrition experts recommend a diet low in fat and high in fiber, which includes at least 5 servings of fruit and vegetables every day for better health.&lt;/p&gt;"
45750391,"Wyman's of Maine Fresh Frozen Dark Sweet with Red Tart Cherries, 2 lb",,,Not available,,,"&lt;p&gt;Wyman￢ﾀﾙs Farms are living proof of their commitment to sustainable agriculture and the health and welfare of generations to come. Their values and farming practices are shared by their farming partners around the globe. Wyman￢ﾀﾙs of Maine Fresh Frozen Dark Sweet with Red Tart Cherries is deliciously blended, primarily sweet and complemented by just the right amount of tart. Cherries are also a tasty way to get vibrant red color into your diet and color is a key to healthy eating. Deep red fruits are packed with vitamins, antioxidants, and other nutrients that are now being studied for their potential health benefits. Wyman's dark sweet and red tart cherries are thoroughly washed and individually quick-frozen after harvest to capture freshness, flavor, and nutrition.&lt;/p&gt;"
45910315,"Wild Oats Marketplace Organic Frozen Whole Strawberries, 10 oz",,10,Not available,,,"&lt;p&gt;Wild Oats has been a pioneer in the food industry since it was originally launched in 1987. Wild Oat brought great food to a generation of folks who cared about what they ate and where it came from. Wild Oats is still pioneering today, because it believes good quality food shouldn't cost more. So Wild Oats is providing even more affordable food choices with Wild Oats Marketplace Brand. Products like Wild Oats Marketplace Organic Frozen Whole Strawberries help everyone be their best starting from the inside.&lt;/p&gt;"
45961782,"Goya Ponche Mexican Style Mix Frozen Fruits, 2 lb",,,Not available,,,"&lt;p&gt;Goya Ponche Mexican Style Mix Frozen Fruits is elaborated from Tejocote, sugar cane, guavas, tangerine, brown whole cane sugar, tamarind, apple, Hibiscus flower and an abundant quantity of raisins, plums and cinnamon.&lt;/p&gt;"
45961783,Goya Whole Guayaba,,,Not available,,,"&lt;p&gt;Goya Fruta Whole Guava for Fruit Punch is a great way to incorporate healthy fruit into your diet. Nutrition experts recommend a diet low in fat and high in fiber, which includes at least 5 servings of fruit and vegetables every day for better health. Try this delicious Goya Fruta in a refreshing smoothie, aqua fresco or as a topping.&lt;/p&gt;"
45961787,"Goya Whole Sugar Cane, 14 oz",,,Not available,,,"&lt;p&gt;Goya￢ﾀﾙs fruit and pulps are great way to incorporate healthy fruit into your diet. Nutrition experts recommend a diet low in fat and high in fiber, which includes at least 5 servings of fruit and vegetables every day for better health. Try Goya Whole Sugar Cane.&lt;/p&gt;"
46014818,"Goya Fruta Pineapple Chunks, 14 oz",,14 oz,Not available,Goya Food,9089,&lt;p&gt;Goya brings authentic Latino cuisine to your kitchen with Goya Fruta Pineapple Chunks. They are delicious and naturally good for you.&lt;/p&gt;
46014819,"Goya Fruta Whole Plums, 14 oz",,14 oz,Not available,,,&lt;p&gt;Goya brings authentic Latino cuisine to your kitchen with Goya Fruta Whole Plums. They are delicious and naturally good for you.&lt;/p&gt;
