1334134_6172404_1043546,Wood Burning & Engraving Supplies,"Arts, Crafts & Sewing/Crafting/Wood Burning & Engraving Supplies"
1334134_6172404_4705167,Wood Crafting,"Arts, Crafts & Sewing/Crafting/Wood Crafting"
1334134_4232946,Fabric,"Arts, Crafts & Sewing/Fabric"
1334134_4232946_1085270,All Fabric,"Arts, Crafts & Sewing/Fabric/All Fabric"
1334134_4232946_4794118,Apparel Fabric,"Arts, Crafts & Sewing/Fabric/Apparel Fabric"
1334134_4232946_9124114,Baby Fabric,"Arts, Crafts & Sewing/Fabric/Baby Fabric"
1334134_4232946_2589521,Cotton Fabric,"Arts, Crafts & Sewing/Fabric/Cotton Fabric"
1334134_4232946_7670483,Craft Fabric,"Arts, Crafts & Sewing/Fabric/Craft Fabric"
1334134_4232946_1790841,Fabric by the Yard and Bulk Fabric,"Arts, Crafts & Sewing/Fabric/Fabric by the Yard and Bulk Fabric"
1334134_4232946_4941078,Fan Shop Fabric,"Arts, Crafts & Sewing/Fabric/Fan Shop Fabric"
1334134_4232946_9984563,Flannel Fabric,"Arts, Crafts & Sewing/Fabric/Flannel Fabric"
1334134_4232946_4043469,Fleece Fabric,"Arts, Crafts & Sewing/Fabric/Fleece Fabric"
1334134_4232946_5873424,Holiday Fabric,"Arts, Crafts & Sewing/Fabric/Holiday Fabric"
1334134_4232946_6430801,Home Decor Fabric,"Arts, Crafts & Sewing/Fabric/Home Decor Fabric"
1334134_4232946_6811958,Licensed Character Fabric,"Arts, Crafts & Sewing/Fabric/Licensed Character Fabric"
1334134_4232946_9155319,Needlework Fabric,"Arts, Crafts & Sewing/Fabric/Needlework Fabric"
1334134_4232946_7357482,Quilting Fabric,"Arts, Crafts & Sewing/Fabric/Quilting Fabric"
1334134_4232946_5295777,Stitchable Fabric,"Arts, Crafts & Sewing/Fabric/Stitchable Fabric"
1334134_4232946_9270165,Utility Fabric,"Arts, Crafts & Sewing/Fabric/Utility Fabric"
1334134_4880989,Knitting & Crochet,"Arts, Crafts & Sewing/Knitting & Crochet"
1334134_4880989_7912327,Crochet Hooks,"Arts, Crafts & Sewing/Knitting & Crochet/Crochet Hooks"
1334134_4880989_7926808,Crochet Kits,"Arts, Crafts & Sewing/Knitting & Crochet/Crochet Kits"
1334134_4880989_2338162,Crochet Thread,"Arts, Crafts & Sewing/Knitting & Crochet/Crochet Thread"
1334134_4880989_9414803,Knitting and Crochet Kits,"Arts, Crafts & Sewing/Knitting & Crochet/Knitting and Crochet Kits"
1334134_4880989_1555046,Knitting Kits,"Arts, Crafts & Sewing/Knitting & Crochet/Knitting Kits"
1334134_4880989_6727372,Knitting Looms & Boards,"Arts, Crafts & Sewing/Knitting & Crochet/Knitting Looms & Boards"
1334134_4880989_9407238,Knitting Needles,"Arts, Crafts & Sewing/Knitting & Crochet/Knitting Needles"
1334134_4880989_5156293,Knitting Patterns and Books,"Arts, Crafts & Sewing/Knitting & Crochet/Knitting Patterns and Books"
1334134_4880989_3031053,Knitting Tools and Supplies,"Arts, Crafts & Sewing/Knitting & Crochet/Knitting Tools and Supplies"
1334134_8495017,Scrapbooking,"Arts, Crafts & Sewing/Scrapbooking"
1334134_8495017_1021739,Albums,"Arts, Crafts & Sewing/Scrapbooking/Albums"
1334134_8495017_2611013,Albums & Refill Pages,"Arts, Crafts & Sewing/Scrapbooking/Albums & Refill Pages"
1334134_8495017_9187189,Cutting Tools,"Arts, Crafts & Sewing/Scrapbooking/Cutting Tools"
1334134_8495017_3276179,Die Cut Machines,"Arts, Crafts & Sewing/Scrapbooking/Die Cut Machines"
1334134_8495017_3123463,Die Cutting,"Arts, Crafts & Sewing/Scrapbooking/Die Cutting"
1334134_8495017_2762328,Die Cutting Tools & Accessories,"Arts, Crafts & Sewing/Scrapbooking/Die Cutting Tools & Accessories"
1334134_8495017_8268489,Embellishments,"Arts, Crafts & Sewing/Scrapbooking/Embellishments"
1334134_8495017_1021745,Scrapbooking & Paper Crafts,"Arts, Crafts & Sewing/Scrapbooking/Scrapbooking & Paper Crafts"
1334134_8495017_8505615,Scrapbooking Tools,"Arts, Crafts & Sewing/Scrapbooking/Scrapbooking Tools"
1334134_8495017_9677556,Sketchbooks & Paper,"Arts, Crafts & Sewing/Scrapbooking/Sketchbooks & Paper"
1334134_8495017_1021746,Stamping,"Arts, Crafts & Sewing/Scrapbooking/Stamping"
1334134_8495017_3605084,Stencils & Templates,"Arts, Crafts & Sewing/Scrapbooking/Stencils & Templates"
1334134_8495017_5211307,Stickers,"Arts, Crafts & Sewing/Scrapbooking/Stickers"
1334134_1094704,Sewing,"Arts, Crafts & Sewing/Sewing"
1334134_1094704_7898483,Cross-Stitch,"Arts, Crafts & Sewing/Sewing/Cross-Stitch"
1334134_1094704_4482863,Dress Forms,"Arts, Crafts & Sewing/Sewing/Dress Forms"
1334134_1094704_6363668,"Fills, Foam and Pillow Forms","Arts, Crafts & Sewing/Sewing/Fills, Foam and Pillow Forms"
1334134_1094704_7741860,Needlepoint & Embroidery,"Arts, Crafts & Sewing/Sewing/Needlepoint & Embroidery"
1334134_1094704_1882256,Notions,"Arts, Crafts & Sewing/Sewing/Notions"
1334134_1094704_1095482,Patterns,"Arts, Crafts & Sewing/Sewing/Patterns"
1334134_1094704_8516310,Quilting,"Arts, Crafts & Sewing/Sewing/Quilting"
1334134_1094704_6832992,Sergers & Accessories,"Arts, Crafts & Sewing/Sewing/Sergers & Accessories"
1334134_1094704_1285621,Sewing Kits,"Arts, Crafts & Sewing/Sewing/Sewing Kits"
1334134_1094704_2312330,Sewing Machine Accessories,"Arts, Crafts & Sewing/Sewing/Sewing Machine Accessories"
1334134_1094704_4770,Sewing Machines,"Arts, Crafts & Sewing/Sewing/Sewing Machines"
1334134_1094704_5424186,Sewing Storage,"Arts, Crafts & Sewing/Sewing/Sewing Storage"
1334134_1094704_1030599,Sewing Tables,"Arts, Crafts & Sewing/Sewing/Sewing Tables"
1334134_1094704_4161439,Sewing Tools,"Arts, Crafts & Sewing/Sewing/Sewing Tools"
1334134_1094704_5763365,Threads and Bobbins,"Arts, Crafts & Sewing/Sewing/Threads and Bobbins"
1334134_1094704_6335431,Trims & Embellishments,"Arts, Crafts & Sewing/Sewing/Trims & Embellishments"
1334134_1095481,Yarn,"Arts, Crafts & Sewing/Yarn"
91083,Auto & Tires,Auto & Tires
91083_1074767,Auto Body,Auto & Tires/Auto Body
91083_1074767_4623199,Auto Paint,Auto & Tires/Auto Body/Auto Paint
91083_1074767_2858680,Auto Paint Chemicals,Auto & Tires/Auto Body/Auto Paint Chemicals
91083_1074767_4473851,Auto Paint Tools,Auto & Tires/Auto Body/Auto Paint Tools
91083_1074767_4582892,Auto Repair Tools,Auto & Tires/Auto Body/Auto Repair Tools
91083_1074767_1072091,Automotive Electrical,Auto & Tires/Auto Body/Automotive Electrical
91083_1074767_4020250,Automotive Stands and Supports,Auto & Tires/Auto Body/Automotive Stands and Supports
91083_1074767_1044299,Body Repair,Auto & Tires/Auto Body/Body Repair
91083_1074767_2867839,Car Customization,Auto & Tires/Auto Body/Car Customization
91083_1074767_1212916,Car Scratch Repair,Auto & Tires/Auto Body/Car Scratch Repair
91083_1212910,Auto Detailing & Car Care,Auto & Tires/Auto Detailing & Car Care
91083_1212910_1212924,Car Cleaning Tools & Accessories,Auto & Tires/Auto Detailing & Car Care/Car Cleaning Tools & Accessories
91083_1212910_1212923,Car Detailing Kits,Auto & Tires/Auto Detailing & Car Care/Car Detailing Kits
91083_1212910_1212911,Exterior Care,Auto & Tires/Auto Detailing & Car Care/Exterior Care
91083_1212910_1212918,Interior Care,Auto & Tires/Auto Detailing & Car Care/Interior Care
91083_3947,Auto Electronics,Auto & Tires/Auto Electronics
91083_3947_1616075,Auto Accessories,Auto & Tires/Auto Electronics/Auto Accessories
91083_3947_4072334,Backup Cameras,Auto & Tires/Auto Electronics/Backup Cameras
91083_3947_6434247,Car Amplifiers,Auto & Tires/Auto Electronics/Car Amplifiers
