Dairy and Egg Products,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Cheese, limburger",134.0,1.0 cup,48.42 g,497.0 mg,20.05 g,-- g,27.25 g,0.49 g,327.0 kcal
"Cheese, low fat, cheddar or colby",132.0,"1.0 cup, diced",63.1 g,415.0 mg,24.35 g,0.52 g,7.0 g,1.91 g,173.0 kcal
"Cheese, low-sodium, cheddar or colby",132.0,"1.0 cup, diced",38.98 g,703.0 mg,24.35 g,0.49 g,32.62 g,1.91 g,398.0 kcal
"Cheese, Mexican blend",28.0,0.25 cup shredded,42.48 g,659.0 mg,23.54 g,1.23 g,28.51 g,1.75 g,358.0 kcal
"Cheese, Mexican, blend, reduced fat",28.35,1.0 oz,48.2 g,1146.0 mg,24.69 g,0.56 g,19.4 g,3.41 g,282.0 kcal
"Cheese, mexican, queso anejo",132.0,"1.0 cup, crumbled",38.06 g,680.0 mg,21.44 g,-- g,29.98 g,4.63 g,373.0 kcal
"Cheese, mexican, queso asadero",132.0,"1.0 cup, diced",42.16 g,661.0 mg,22.6 g,-- g,28.26 g,2.87 g,356.0 kcal
"Cheese, mexican, queso chihuahua",132.0,"1.0 cup, diced",39.13 g,651.0 mg,21.56 g,-- g,29.68 g,5.56 g,374.0 kcal
"Cheese, mexican, queso cotija",5.0,2.0 tsp,38.0 g,800.0 mg,20.0 g,0.0 g,30.0 g,3.97 g,366.0 kcal
"Cheese, monterey",132.0,"1.0 cup, diced",41.01 g,746.0 mg,24.48 g,0.5 g,30.28 g,0.68 g,373.0 kcal
"Cheese, monterey, low fat",132.0,"1.0 cup, diced",46.0 g,705.0 mg,28.2 g,0.56 g,21.6 g,0.7 g,313.0 kcal
"Cheese, mozzarella, low moisture, part-skim",132.0,"1.0 cup, diced",47.07 g,697.0 mg,23.75 g,1.9 g,19.78 g,5.58 g,295.0 kcal
"Cheese, mozzarella, low moisture, part-skim, shredded",86.0,1.0 cup,44.81 g,716.0 mg,23.63 g,2.24 g,19.72 g,8.06 g,304.0 kcal
"Cheese, mozzarella, low sodium",132.0,"1.0 cup, diced",49.9 g,731.0 mg,27.5 g,1.23 g,17.1 g,3.1 g,280.0 kcal
"Cheese, mozzarella, nonfat",113.0,"1.0 cup, shredded",60.2 g,961.0 mg,31.7 g,1.48 g,0.0 g,3.5 g,141.0 kcal
"Cheese, mozzarella, part skim milk",28.35,1.0 oz,53.78 g,782.0 mg,24.26 g,1.13 g,15.92 g,2.77 g,254.0 kcal
"Cheese, mozzarella, whole milk",112.0,"1.0 cup, shredded",50.01 g,505.0 mg,22.17 g,1.03 g,22.35 g,2.19 g,300.0 kcal
"Cheese, mozzarella, whole milk, low moisture",28.35,1.0 oz,48.38 g,575.0 mg,21.6 g,1.01 g,24.64 g,2.47 g,318.0 kcal
"Cheese, muenster",132.0,"1.0 cup, diced",41.77 g,717.0 mg,23.41 g,-- g,30.04 g,1.12 g,368.0 kcal
"Cheese, muenster, low fat",113.0,"1.0 cup, shredded",50.5 g,529.0 mg,24.7 g,-- g,17.6 g,3.5 g,271.0 kcal
"Cheese, neufchatel",28.35,1.0 oz,63.11 g,117.0 mg,9.15 g,3.19 g,22.78 g,3.59 g,253.0 kcal
"Cheese, parmesan, dry grated, reduced fat",100.0,1.0 cup,50.6 g,1109.0 mg,20.0 g,0.0 g,-- g,1.37 g,265.0 kcal
"Cheese, parmesan, grated",100.0,1.0 cup,22.65 g,853.0 mg,28.42 g,0.07 g,27.84 g,13.91 g,420.0 kcal
"Cheese, parmesan, hard",28.35,1.0 oz,29.16 g,1184.0 mg,35.75 g,0.8 g,25.83 g,3.22 g,392.0 kcal
"Cheese, parmesan, low sodium",100.0,"1.0 cup, grated",22.2 g,800.0 mg,41.6 g,0.85 g,29.99 g,3.7 g,451.0 kcal
"Cheese, parmesan, shredded",5.0,1.0 tbsp,25.0 g,1253.0 mg,37.86 g,0.9 g,27.34 g,3.41 g,415.0 kcal
"Cheese, pasteurized process, American, fortified with vitamin D",28.35,1.0 oz,39.61 g,1045.0 mg,18.13 g,2.26 g,30.71 g,4.78 g,366.0 kcal
"Cheese, pasteurized process, American, low fat",140.0,"1.0 cup, diced",58.9 g,684.0 mg,24.6 g,0.59 g,7.0 g,3.5 g,180.0 kcal
"Cheese, pasteurized process, American, without added vitamin D",28.35,1.0 oz,39.61 g,1045.0 mg,18.13 g,2.26 g,31.79 g,3.7 g,371.0 kcal
"Cheese, pasteurized process, cheddar or American, fat-free",16.0,1.0 cubic inch,56.9 g,689.0 mg,22.5 g,9.95 g,0.8 g,13.4 g,148.0 kcal
"Cheese, pasteurized process, cheddar or American, low sodium",140.0,"1.0 cup, diced",42.8 g,616.0 mg,22.2 g,0.45 g,31.19 g,1.6 g,376.0 kcal
"Cheese, pasteurized process, pimento",140.0,"1.0 cup, diced",39.08 g,614.0 mg,22.13 g,0.62 g,31.2 g,1.73 g,375.0 kcal
"Cheese, pasteurized process, swiss",140.0,"1.0 cup, diced",42.31 g,772.0 mg,24.73 g,1.23 g,25.01 g,2.1 g,334.0 kcal
"Cheese, pasteurized process, swiss, low fat",140.0,"1.0 cup, diced",59.1 g,684.0 mg,25.5 g,1.35 g,5.1 g,4.3 g,165.0 kcal
"Cheese, port de salut",132.0,"1.0 cup, diced",45.45 g,650.0 mg,23.78 g,-- g,28.2 g,0.57 g,352.0 kcal
"Cheese, provolone",132.0,"1.0 cup, diced",40.95 g,756.0 mg,25.58 g,0.56 g,26.62 g,2.14 g,351.0 kcal
"Cheese, provolone, reduced fat",132.0,"1.0 cup, diced",50.6 g,756.0 mg,24.7 g,0.55 g,17.6 g,3.5 g,274.0 kcal
"Cheese, ricotta, part skim milk",124.0,0.5 cup,74.41 g,272.0 mg,11.39 g,0.31 g,7.91 g,5.14 g,138.0 kcal
"Cheese, ricotta, whole milk",124.0,0.5 cup,71.7 g,207.0 mg,11.26 g,0.27 g,12.98 g,3.04 g,174.0 kcal
"Cheese, romano",28.35,1.0 oz,30.91 g,1064.0 mg,31.8 g,0.73 g,26.94 g,3.63 g,387.0 kcal
"Cheese, roquefort",28.35,1.0 oz,39.38 g,662.0 mg,21.54 g,-- g,30.64 g,2.0 g,369.0 kcal
"Cheese, swiss",132.0,"1.0 cup, diced",37.63 g,890.0 mg,26.96 g,0.0 g,30.99 g,1.44 g,393.0 kcal
"Cheese, swiss, low fat",28.0,1.0 slice (1 oz),59.6 g,961.0 mg,28.4 g,1.33 g,5.1 g,3.4 g,179.0 kcal
"Cheese, swiss, low sodium",28.0,1.0 slice,37.8 g,961.0 mg,28.4 g,1.31 g,27.4 g,3.4 g,374.0 kcal
"Cheese, Swiss, nonfat or fat free",28.0,1.0 serving,63.6 g,961.0 mg,28.4 g,1.33 g,0.0 g,3.4 g,127.0 kcal
"Cheese, tilsit",28.35,1.0 oz,42.86 g,700.0 mg,24.41 g,-- g,25.98 g,1.88 g,340.0 kcal
"Cheese, white, queso blanco",118.0,"1.0 cup, crumbled",48.7 g,690.0 mg,20.38 g,1.76 g,24.31 g,2.53 g,310.0 kcal
"Cream substitute, flavored, liquid",15.0,1.0 tbsp,50.06 g,6.0 mg,0.69 g,33.04 g,13.5 g,35.07 g,251.0 kcal
"Cream substitute, flavored, powdered",12.0,4.0 tsp,1.52 g,5.0 mg,0.68 g,58.01 g,21.47 g,75.42 g,482.0 kcal
"Cream substitute, liquid, light",30.0,1.0 fl oz,86.2 g,1.0 mg,0.8 g,-- g,3.5 g,9.1 g,71.0 kcal
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",15.0,"1.0 container, individual",77.27 g,9.0 mg,1.0 g,-- g,9.97 g,11.38 g,136.0 kcal
"Cream substitute, liquid, with lauric acid oil and sodium caseinate",15.0,"1.0 container, individual",77.27 g,9.0 mg,1.0 g,-- g,9.97 g,11.38 g,136.0 kcal
"Cream substitute, powdered",94.0,1.0 cup,2.98 g,2.0 mg,2.48 g,7.77 g,32.92 g,59.29 g,529.0 kcal
"Cream substitute, powdered, light",94.0,1.0 cup,6.2 g,1.0 mg,1.9 g,-- g,15.7 g,73.4 g,431.0 kcal
"Cream, fluid, half and half",30.2,1.0 fl oz,81.24 g,107.0 mg,3.13 g,4.13 g,10.39 g,4.73 g,123.0 kcal
"Cream, fluid, heavy whipping",120.0,"1.0 cup, whipped",57.81 g,66.0 mg,2.84 g,2.92 g,36.08 g,2.74 g,340.0 kcal
"Cream, fluid, light (coffee cream or table cream)",30.0,1.0 fl oz,74.51 g,91.0 mg,2.96 g,3.67 g,19.1 g,2.82 g,191.0 kcal
"Cream, fluid, light whipping",120.0,"1.0 cup, whipped",63.5 g,69.0 mg,2.17 g,-- g,30.91 g,2.96 g,292.0 kcal
"Cream, half and half, fat free",29.0,2.0 tbsp,86.0 g,96.0 mg,2.6 g,5.0 g,1.4 g,9.0 g,59.0 kcal
"Cream, sour, cultured",12.0,1.0 tbsp,73.07 g,101.0 mg,2.44 g,3.41 g,19.35 g,4.63 g,198.0 kcal
"Cream, sour, reduced fat, cultured",15.0,1.0 tbsp,80.14 g,104.0 mg,2.94 g,0.16 g,12.0 g,4.26 g,135.0 kcal
