Product,Price
Fresh Cut Apples Sliced - 16 Oz,$5.00
Fresh Cut Berry Cup With Kiwi - 8 Oz,$4.99
Fresh Cut Berry Cup With Mango - 8 Oz,$4.99
Fresh Cut Cantaloupe Bowl - 24 Oz,$5.00
Fresh Cut Cantaloupe Cup - 8 Oz,$1.99
Fresh Cut Dates Grapes Cheese & Crackers - 8 Oz (750 Cal),$3.99
Fresh Cut Fruit & Chocolate Dip - 9 Oz (270 Cal),$3.99
Fresh Cut Fruit & Colby Cheese - 12 Oz (400 Cal),$3.99
Fresh Cut Fruit & Cream Cheese Dip - 9 Oz (360 Cal),$3.99
Fresh Cut Fruit & Nut Tray - 12 Oz (570 Cal),$3.99
Fresh Cut Fruit Cup - 8 Oz,$2.99
Fresh Cut Fruit Medley Bowl - 24 Oz,$6.99
Fresh Cut Fruit Salad Bowl - 24 Oz,$7.99
Fresh Cut Fruit Salad Bowl - 32 Oz,$9.99
Fresh Cut Fruit Salad Bowl - 56 Oz,$14.99
Fresh Cut Fruit Tray Mixed - 15 Oz,$3.99
Fresh Cut Fruit Tray Tropical - 12 Oz,$3.99
Fresh Cut Fruit Tray With Cream Cheese Dip Medium - 60 Oz,$16.99
Fresh Cut Grape Mixed Cup - 8 Oz,$2.99
Fresh Cut Grapes Mixed - 24 Oz,$5.00
Fresh Cut Grapes Strawberries Cheese & Granola - 8 Oz (640 Cal),$3.99
Fresh Cut Honeydew Bowl - 24 Oz,$5.00
Fresh Cut Honeydew Cup - 8 Oz,$1.99
Fresh Cut Kiwi Apples Cheese & Granola - 8 Oz (580 Cal),$3.99
Fresh Cut Kiwi Pineapple & Strawberry Bowl - 20 Oz,$7.99
Fresh Cut Mango Bowl - 24 Oz,$9.99
Fresh Cut Mango Cup - 8 Oz,$4.99
Fresh Cut Melon Medley Bowl - 24 Oz,$5.00
Fresh Cut Melon Medley Bowl - 52 Oz,$9.99
Fresh Cut Melon Watermelon Bowl - 32 Oz,$5.99
Fresh Cut Melon Watermelon Bowl Medium - 24 Oz,$5.00
Fresh Cut Melon Watermelon Cup - 8 Oz,$1.99
Fresh Cut Mixed Berry Cup - 10 Oz,$4.99
Fresh Cut Parfait Fresh Fruit Yogurt - 12 Oz,$2.99
Fresh Cut Pineapple Bowl - 24 Oz,$5.00
Fresh Cut Pineapple Bowl - 32 Oz,$5.99
Fresh Cut Pineapple Cup - 8 Oz,$1.99
Fresh Cut Salsa Mango - 10 Oz,$2.99
Fresh Cut Strawberries Apples Cheese & Crackers - 8 Oz (510 Cal),$3.99
Fresh Cut Strawberry Blueberry & Mango Bowl - 24 Oz,$9.99
Fresh Cut Strawberry Bowl - 20 Oz,$6.99
Fresh Cut Strawberry Cup - 8 Oz,$3.99
Fresh Cut Strawberry Pineapple & Mango Bowl - 24 Oz,$8.99
Fresh Cut Strawberry Shortcake - 10 Oz (570 Cal),$3.99
Greek Yogurt Parfait With Strawberries And Blueberries (470 Cal),$2.99
Happy Apples Fresh Caramel Apple With Crunch Coating - Each,$1.49
O Organics Organic Apples Sliced - 5.2 Oz,$5.09
O Organics Organic Apples Sweet Sliced - 14 Oz,$4.89
Signature Farms Apple Slices W/Caramel Dip Multipack - 4-2.5 Oz,$3.99
Signature Farms Apples Slices - 14 Oz,$3.29
Signature Farms Cherry Mixed Cup - 7 Oz,$1.45
Signature Farms Farms Apple Slices Multipack - 5-2 Oz,$3.99
Signature Farms Frt Cup Grpfrt Ruby Red Xls - 7 Oz,$1.45
Signature Farms Frt Cup Mandarin Oranges - 7 Oz,$1.45
Signature Farms Frt Cup No Sugar Added Peaches - 7 Oz,$1.45
Signature Farms Fruit Cup Pineapple Chunks - 7 Oz,$1.45
Signature Farms Fruit Cups Peach Chunk - 7 Oz,$1.45
Signature Farms Fruit Grapefruit Ruby Red - 64 Oz,$10.09
Signature Farms Fruit No Sugar Added Grapefruit - 64 Oz,$10.09
Yogurt Parfait Vanilla With Strawberries And Blueberries - 12 Oz (550 Cal),$2.99
Bean Dip 7 Layer,$9.99
Bean Dip 7 Layer,$2.99
Beet Noodles,$2.50
Cauliflower Crumbles - 8 Oz,$2.99
Cucumbers Sliced - 6 Oz,$1.99
Fajita Mix - 32 Oz,$5.00
Fresh Cut Asparagus Trimmed Tray Pack - 10 Oz,$5.00
Fresh Cut Baby Bok Choy Stir Fry - 10 Oz,$3.99
Fresh Cut Bean Dip 7 Layer - 28 Oz,$6.99
Fresh Cut Bean Dip Tray With Guacamole - 44 Oz,$9.99
Fresh Cut Bell Peppers Sliced - 8 Oz,$2.99
Fresh Cut Broccolini - 7 Oz,$3.99
Fresh Cut Brussels Sprouts Sliced - 10 Oz,$3.99
Fresh Cut Brussels Sprouts With Bacon Pieces - 10 Oz,$3.99
Fresh Cut Butternut Squash With Rosemary - 14 Oz - 15 Oz,$3.99
Fresh Cut Carrot Sticks - 10 Oz,$1.99
Fresh Cut Celery & Onion Diced Cup - 6 Oz,$1.99
Fresh Cut Cucumber Carrots Cheese & Ranch Dip - 8 Oz,$3.99
Fresh Cut Diced Celery Cup - 6 Oz,$1.99
Fresh Cut Diced Green Onion Cup - 3 Oz,$1.99
Fresh Cut Garlic Peeled - 6 Oz,$2.99
Fresh Cut Guacamole - 12 Oz,$5.00
Fresh Cut Jalapeno & Cheddar Mushrooms 6 Count - 8 Oz,$5.00
Fresh Cut Jalapenos Sliced - 4 Oz,$1.99
Fresh Cut Jalapenos Stuffed With Bacon - 10 Oz,$5.00
Fresh Cut Jalapenos Stuffed With Cream Cheese - 10 Oz,$5.00
Fresh Cut Mushrooms Spinach & Mozzarella 2 Count - 8 Oz,$5.00
Fresh Cut Mushrooms Spinach & Mozzarella 6 Count - 8 Oz,$5.00
Fresh Cut Mushrooms Stuffed Baby Bella With Pico De Gallo & Cheddar 6 Count - 8 Oz,$5.00
Fresh Cut Mushrooms Variety 6 Count - 8 Oz,$5.00
